article,n_candidates,n_picks,cutoff_votes_rel,n_above_cutoff,n_tied_at_cutoff,slots_within_cutoff_tie,cutoff_inclusion_probability,ambiguous_cutoff
/story/2000138753388/bundespraesidentenwahl-van-der-bellen-erhielt-25-000-unterstuetzungserklaerungen,313,4,56,3,1,1,1,FALSE
/story/2000138508331/aus-dem-leben-eines-sterbewilligen-es-war-eine-erloesung,252,6,354,5,1,1,1,FALSE
/story/2000138752315/wien-energie-fpoe-und-oevp-fuer-einsetzung-einer-untersuchungskommission,239,2,87,1,1,1,1,FALSE
/story/2000138747426/anzug-statt-lederjacke-was-dominik-wlaznyalias-marco-pogo,224,7,78,6,1,1,1,FALSE
/story/2000138746499/rechtsextremismus-fast-270-tathandlungen-im-ersten-halbjahr,13,3,10,2,1,1,1,FALSE
/story/2000138758951/der-trailer-zum-kommenden-pu-der-baer-horrorfilm-ist-wohl,84,3,49,2,1,1,1,FALSE
/story/2000138739800/das-ende-der-routerfreiheitdas-neue-kabelmodem-von-magenta-hat-ein,549,8,46,7,1,1,1,FALSE
/story/2000138737730/hoher-besuch-oefb-fraueneuropameisterinnen-gegen,24,4,5,2,2,2,1,FALSE
/story/2000138764150/wien-weniger-menschen-beziehen-mindestsicherung-aber-die-ausgaben-dafuer-steigen,86,3,111,2,1,1,1,FALSE
/story/2000138762169/vorwuerfe-gegen-den-bekannten-filmregisseur-ulrich-seidl,160,4,47,3,1,1,1,FALSE
/story/2000138760459/anna-karenina-in-der-josefstadtdr-tolstois-ehe-und-familienberatung,47,4,38,3,1,1,1,FALSE
/story/2000138747321/ed-sheeran-live-in-wien-der-pumuckl-ist-gelandet,207,3,78,2,1,1,1,FALSE
/story/2000138727056/kulturelle-aneignung-unwohlsein-ist-kein-argument,329,6,70,5,1,1,1,FALSE
/story/2000138762925/standard-bringt-sein-forum-in-die-analoge-welt-posten-auf,34,5,17,4,1,1,1,FALSE
/story/2000138576853/valyrisch-oder-sindarin-so-entsteht-eine-fantasysprache,30,3,11,2,1,1,1,FALSE
/story/2000138761593/giftstoffe-in-spielzeug-sind-ein-hindernis-fuer-recycling,15,2,16,1,1,1,1,FALSE
/story/2000138696971/untreue-in-der-beziehung-wie-sind-sie-damit-umgegangen,237,6,99,5,1,1,1,FALSE
/story/2000138702463/oesterreich-zum-zweitbesten-land-fuer-alleinreisende-frauen-gekuert,92,4,54,3,1,1,1,FALSE
/story/2000138762482/biden-muss-die-demokratie-verteidigen-ohne-risiko-ist-das-aber,76,2,15,1,1,1,1,FALSE
/story/2000138721964/quiz-wie-gut-kennen-sie-sich-im-tolkiens-mittelerde-universium,94,5,14,4,1,1,1,FALSE
/story/2000138739402/die-oevp-zerbroeselt,690,9,117,8,1,1,1,FALSE
/story/2000138774248/ludwigs-alleingang-bei-wien-energie-notkompetenz-aus-kaisers-zeiten,170,4,57,3,1,1,1,FALSE
/story/2000138771432/blick-hinter-die-kulissen-so-funktioniert-der-handel-mit-dem,196,3,60,2,1,1,1,FALSE
/story/2000138767297/osteuropa-experte-krastev-jeder-krieg-ist-ein-test-des-willens,216,6,50,5,1,1,1,FALSE
/story/2000138771519/michail-gorbatschow-und-wladimir-putin-zwei-weltveraenderer,62,4,32,2,2,2,1,FALSE
/story/2000138785255/fpoe-wahlkampfauftakt-abrechnung-mit-van-der-biden-und-rosen-fuer,465,6,206,5,1,1,1,FALSE
/story/2000138772017/vier-truempfe-fuer-die-rechten-herzen-bei-der-praesidentenwahl,245,4,49,3,1,1,1,FALSE
/story/2000138784839/deutscher-staat-kann-seinen-buergern-kein-geld-ueberweisen,166,4,49,3,1,1,1,FALSE
/story/2000138720673/meinem-pickel-beim-heilen-zusehen-tagebuch-app-be-real-im,54,5,16,3,2,2,1,FALSE
/story/2000138779323/letzte-grosse-show-von-serena-williams-bei-us-open-das,58,3,43,2,1,1,1,FALSE
/story/2000138753743/ist-der-kapitalismus-am-ende,311,4,44,3,2,1,0.5,TRUE
/story/2000138783128/herbig-wuerde-winnetou-filmparodie-heute-nicht-mehr-so-drehen,194,8,61,7,1,1,1,FALSE
/story/2000138781270/iggy-pop-im-konzerthaus-mit-dem-smoking-den-boden-wischen,58,4,42,3,1,1,1,FALSE
/story/2000138765049/fernsehrichterin-salesch-meine-sendung-macht-nicht-duemmer,104,6,34,5,1,1,1,FALSE
/story/2000138781312/rund-7-000-jahre-altes-gletschereis-in-der-schweiz-geschmolzen,32,1,49,0,1,1,1,FALSE
/story/2000138756858/serena-williams-mode,24,4,13,3,1,1,1,FALSE
/story/2000138767373/vor-der-wahl-das-tiroler-volksschauspiel,200,4,32,3,1,1,1,FALSE
/story/2000138796767/strompreishausse-bringt-eisenbahnen-unter-druck,99,3,51,2,1,1,1,FALSE
/story/2000138790787/deutsches-entlastungspaket-hat-gesamtvolumen-von-65-milliarden-euro,128,4,25,3,1,1,1,FALSE
/story/2000138794207/regierung-einigt-sich-auf-strompreisbremse,1062,6,80,5,1,1,1,FALSE
/story/2000138769426/vermessung-des-wohnbereichs-was-saugroboter-alles-ausspaehen,150,5,39,4,1,1,1,FALSE
/story/2000138790207/zehntausende-demonstrierten-in-prag-gegen-tschechische-regierung,47,3,29,2,1,1,1,FALSE
/story/2000138781864/die-unbemerkten-oesterreich-reisen-von-putins-tochter,449,5,117,4,1,1,1,FALSE
/story/2000138789235/experte-rechnet-mit-sieg-van-der-bellens-im-ersten-durchgang,196,6,23,5,2,1,0.5,TRUE
/story/2000138760938/als-lehrerin-oder-lehrer-in-der-klasse-stehen-kein-job,509,10,173,9,1,1,1,FALSE
/story/2000138791948/situation-eskaliert-hass-plattform-kiwi-farms-vom-netz-genommen,91,2,87,1,1,1,1,FALSE
/story/2000138796789/fuehrender-in-serie-a-torschuetzenliste-arnautovic-glaenzt-erneut-mit-doppelpack,70,5,70,4,1,1,1,FALSE
/story/2000138795553/verstappen-gewinnt-heim-gp-in-zandvoort,98,4,61,3,1,1,1,FALSE
/story/2000138794596/19-jaehriger-starb-in-schaerding-nach-stromschlag-auf-eisenbahnwaggon,50,1,142,0,1,1,1,FALSE
/story/2000138654576/vergewaltigungsprozess-mit-ueberraschtem-verteidiger,61,5,62,4,1,1,1,FALSE
/story/2000138769404/wahlen-in-krems-rotes-alien-im-schwarzen-kosmos,54,7,32,6,1,1,1,FALSE
/story/2000138794423/geteilte-reaktionen-auf-spiegel-vorwuerfe-gegen-ulrich-seidl,57,3,49,2,1,1,1,FALSE
/story/2000138774090/bademeisterin-schwarz-grillmeisterin-trans-neue-komoedie-freibad,30,1,59,0,1,1,1,FALSE
/story/2000138786986/treibstoffleck-verzoegert-start-der-artemis-mondrakete-um-wochen,94,1,62,0,1,1,1,FALSE
/story/2000138732721/wiener-bademeister-wir-sind-die-starke-hand-am-beckenrand,43,1,153,0,1,1,1,FALSE
/story/2000138757972/im-bauch-von-wien-besuch-am-grossmarkt-in-inzersdorf,11,2,37,1,1,1,1,FALSE
/story/2000138768818/das-letzte-aufgebot-der-oevp,197,5,80,4,1,1,1,FALSE
/story/2000138721865/massenhafte-abmahnungen-wo-der-spass-aufhoert,42,2,42,1,1,1,1,FALSE
/story/2000138822413/russland-will-erst-wieder-gas-ueber-nord-stream-1-liefern,225,3,117,2,1,1,1,FALSE
/story/2000138825261/gas-nur-bei-auder-sanktionen-lieferstopp-schockt-boersen-auf-talfahrt,232,3,362,2,1,1,1,FALSE
/story/2000138804166/die-strompreisbremse-kommt-was-sie-fuer-die-bevoelkerung-bedeutet,610,3,73,2,1,1,1,FALSE
/story/2000138800798/euro-faellt-auf-tiefsten-stand-seit-knapp-20-jahren,116,4,89,3,1,1,1,FALSE
/story/2000138796833/ezb-rat-ringt-erneut-um-einen-grossen-zinsschritt,53,3,39,2,1,1,1,FALSE
/story/2000138800422/klimabonus-fuer-asylwerber-laut-tiroler-oevp-fatales-signal,221,3,105,1,2,2,1,FALSE
/story/2000138813622/ex-aussenministerin-kneissl-erklaert-uebersiedlung-in-den-libanon,489,4,141,3,1,1,1,FALSE
/story/2000138812153/liz-truss-folgt-johnson-in-grossbritannien-als-parteichefin-der-konservativen,197,4,41,3,1,1,1,FALSE
/story/2000138801509/versucht-premier-boris-johnson-ein-comebacka-la-berlusconi,28,1,17,0,1,1,1,FALSE
/story/2000138800060/chile-lehnte-neue-verfassung-mit-grosser-mehrheit-ab,88,3,61,2,1,1,1,FALSE
/story/2000138797128/mit-liz-truss-folgt-wohl-eine-menschliche-handgranate-auf-boris,165,3,56,2,1,1,1,FALSE
/story/2000138832262/kanzler-nehammer-will-irrsinn-auf-den-energiemaerkten-daempfen,368,5,77,4,1,1,1,FALSE
/story/2000138827050/das-wien-energie-fiasko-und-seine-folgen,124,3,30,2,1,1,1,FALSE
/story/2000138824380/mit-dem-virus-in-die-schule-wie-die-corona-regeln,88,2,64,1,1,1,1,FALSE
/story/2000138690690/wie-kinder-und-lehrkraefte-den-ersten-schultag-erleben,57,5,16,4,1,1,1,FALSE
/story/2000138810801/rings-of-power-amazon-verordnet-rezensionspause-fuer-neue-blockbuster-serie,169,4,77,3,1,1,1,FALSE
/story/2000138804890/luxuslounge-und-swimmingpool-die-ueberlebensbunker-der-superreichen,97,2,47,1,1,1,1,FALSE
/story/2000138793113/staatssekretaer-tursky-overhead-projektor-und-kreidetafel-muessen-verschwinden,655,3,317,2,1,1,1,FALSE
/story/2000138812193/frauen-nationalteam-warum-ausgerechnet-wiener-neustadt,127,3,44,2,1,1,1,FALSE
/story/2000138776050/50-jahre-nach-terroranschlag-in-muenchen-zwoelf-menschen-zwoelf-leben,11,1,38,0,2,1,0.5,TRUE
/story/2000138798840/in-oesterreich-registrierter-privatjet-im-baltischen-meer-abgestuerzt,164,3,79,2,2,1,0.5,TRUE
/story/2000138799976/zehn-tote-bei-messerangriffen-in-kanadischer-provinz-saskatchewan,17,1,86,0,1,1,1,FALSE
/story/2000138815279/koerperverletzungsprozess-voll-schimpfwoerter-und-auslaenderpolitik,162,5,64,4,1,1,1,FALSE
/story/2000138809062/21-jaehriger-fuhr-mit-160-kmh-auf-wiener-ringstrasse,105,2,195,1,1,1,1,FALSE
/story/2000138807359/neunjaehriger-bei-wanderung-in-tirol-von-kuh-schwer-verletzt,268,4,179,3,1,1,1,FALSE
/story/2000138793830/soll-netrebko-in-wien-auftreten,444,5,75,4,1,1,1,FALSE
/story/2000138799419/martin-polaschek-in-der-zib-2-eigentlich-ist-alles-doch,249,5,93,4,2,1,0.5,TRUE
/story/2000138794750/hundemuede-kinder-forschung-warnt-vor-epidemie-des-schlafmangels,184,5,64,4,1,1,1,FALSE
/story/2000138803443/wie-der-axolotl-teile-seines-gehirns-nachwachsen-lassen-kann,29,1,26,0,1,1,1,FALSE
/story/2000138751071/unfruchtbarkeit-keine-krankheit,73,4,35,3,1,1,1,FALSE
/story/2000138517272/lautes-musikhoeren-in-den-oeffis-gehts-noch,398,3,343,2,1,1,1,FALSE
/story/2000138697584/eingewoehnung-im-kindergarten-wie-viele-traenen-sind-normal,34,5,19,4,1,1,1,FALSE
/story/2000138826767/karin-kneissl-eine-tragikomoedie,289,5,212,4,1,1,1,FALSE
/story/2000138798038/lob-und-preis-fuer-kickl,143,4,124,3,1,1,1,FALSE
/story/2000138795418/ueber-sex-sprechen,58,3,36,2,1,1,1,FALSE
/story/2000138804456/gemeinsamer-weg-fuer-radfahrer-und-fussgaenger-wer-hat-vorrang,187,4,144,3,1,1,1,FALSE
/story/2000138761470/andrew-tate-co-austauschbare-hampelmaenner,102,4,34,3,1,1,1,FALSE
/story/2000138811217/strompreisbremse-was-ist-faul-am-geldgeschenk,30,3,24,2,2,1,0.5,TRUE
/story/2000138802964/chile-haelt-an-der-verfassung-aus-der-pinochet-diktatur-fest,35,2,29,1,1,1,1,FALSE
/story/2000138802996/faengt-der-unterricht-zu-frueh-an,168,3,37,2,1,1,1,FALSE
/story/2000138867363/die-regierung-will-die-energiekunden-weiter-entlasten-aber-wie,126,5,23,4,1,1,1,FALSE
/story/2000138866613/ein-preisdeckel-gegen-putin-kann-das-gutgehen,315,4,46,3,1,1,1,FALSE
/story/2000138862553/fuer-kreditnehmer-mit-variablen-zinsen-wird-die-luft-duenner,165,4,90,3,1,1,1,FALSE
/story/2000138825665/spaniens-milchwirtschaft-droht-der-kollaps,57,6,25,5,1,1,1,FALSE
/story/2000138840627/neue-generation-der-oebb-nightjets-ab-2023-im-einsatz,82,4,41,3,1,1,1,FALSE
/story/2000138833052/haushaltsenergiepreise-in-oesterreich-im-juli-um-fast-50-prozent-gestiegen,30,1,27,0,1,1,1,FALSE
/story/2000138858683/suella-braverman-anti-woke-kriegerin-im-britischen-innenressort,65,3,51,2,1,1,1,FALSE
/story/2000138857617/atomenergiebehoerde-fuer-entmilitarisierte-zone-um-akw-saporischschja,48,8,25,7,1,1,1,FALSE
/story/2000138854679/prominente-tv-journalistin-wahrscheinlich-von-israelischem-schuetzen-getoetet,38,3,18,2,1,1,1,FALSE
/story/2000138846622/putin-gehen-langsam-die-mikrochips-fuer-seine-raketen-aus,291,4,189,3,1,1,1,FALSE
/story/2000138834552/warum-der-versoehner-joe-biden-nun-an-der-wegscheide-steht,94,4,18,3,1,1,1,FALSE
/story/2000138832700/konzept-der-russischen-welt-putin-segnete-neue-aussenpolitische-doktrin-ab,142,2,76,1,1,1,1,FALSE
/story/2000138861187/bundespraesidentenwahl-plakativer-praesident-und-angriffige-gegenspieler,152,4,49,3,1,1,1,FALSE
/story/2000138851231/bp-wahl-grosz-haelt-wutrede-vor-der-hofburg,129,4,99,3,1,1,1,FALSE
/story/2000138724516/nach-terroranschlag-aufgeloester-islamistenverein-in-wien-kann-nach-brisantem-urteil,157,5,79,4,1,1,1,FALSE
/story/2000138823865/mattles-politisches-himmelfahrtskommando-an-der-tiroler-vp-spitze,96,2,85,1,1,1,1,FALSE
/story/2000138845422/iphone-14-und-sehr-viel-pro-was-apple-am-7,25,4,4,3,1,1,1,FALSE
/story/2000138824340/neue-signal-chefin-wir-werden-uns-nicht-am-geschaeftsmodell-der,56,4,33,3,1,1,1,FALSE
/story/2000138823767/500-jahre-nach-der-ersten-umrundung-der-erde-ist-unser,324,1,405,0,1,1,1,FALSE
/story/2000138871826/champions-league-starke-salzburger-holen-remis-gegen-milan,120,5,71,4,1,1,1,FALSE
/story/2000138868794/arnautovic-klub-fc-bologna-entlaesst-trainer-mihajlovic,28,2,43,1,1,1,1,FALSE
/story/2000138818908/champions-league-salzburg-milan,68,4,17,3,1,1,1,FALSE
/story/2000138860512/gericht-nimmt-anklageschrift-gegen-tuerkische-popsaengerin-guelsen-an,17,4,28,3,1,1,1,FALSE
/story/2000138854563/jugendbanden-in-wien-ottakring-und-hernals-von-polizei-gestoppt,58,1,259,0,1,1,1,FALSE
/story/2000138833469/wiener-stadtstrasse-lobaubleibt-bewegung-protestiert-gegen-abbau-von-zuggleisen,140,2,61,1,1,1,1,FALSE
/story/2000138847595/prozess-um-changierende-staatsbuergerschaft-im-asylverfahren,72,4,76,2,2,2,1,FALSE
/story/2000138814393/wunschkennzeichen-wo-88-nicht-geht,383,4,79,3,1,1,1,FALSE
/story/2000138831669/ausschreibungskrimi-um-schul-pcr-tests-fuer-ganz-oesterreich,221,4,66,3,1,1,1,FALSE
/story/2000138839184/buhs-und-bravos-fuer-netrebko-in-der-staatsoper-sing-leise,108,2,34,1,1,1,1,FALSE
/story/2000138852648/prosieben-zeigt-kontroversielles-needle-spiking-experiment,8,1,46,0,1,1,1,FALSE
/story/2000138838113/weltretten-fuer-fortgeschrittene-fuenf-kehrtwenden-fuer-eine-lebenswerte-zukunft,23,2,14,1,1,1,1,FALSE
/story/2000138809560/weshalb-australiens-gigantische-donnervoegel-ausstarben,32,3,25,2,1,1,1,FALSE
/story/2000138837710/kanal-grande-im-donaukanal-wird-wieder-gebadet,166,6,44,5,1,1,1,FALSE
/story/2000138812474/ihre-liebste-europaeische-stadt,192,6,20,5,1,1,1,FALSE
/story/2000138564107/fkk-erlebt-seit-der-pandemie-ein-kleines-revival,57,3,47,2,1,1,1,FALSE
/story/2000138863147/die-regierung-loescht-das-feuer-nicht,220,4,42,3,1,1,1,FALSE
/story/2000138843153/jeder-fuenfte-darf-nicht-waehlen-demokratiepolitisches-risiko,524,6,131,5,1,1,1,FALSE
/story/2000138824176/unvermeidbarer-wirtschaftskrieg,404,4,56,3,1,1,1,FALSE
/story/2000138825992/leonardo-dicaprio-stirbt-mit-25-die-liebe,408,6,90,4,2,2,1,FALSE
/story/2000138840285/milf-bis-stiefbruder-wieso-sind-tabus-im-porno-so-beliebt,109,4,48,3,1,1,1,FALSE
/story/2000138904237/wenig-freude-mit-der-stromkostenbremse-viel-kritik-von-allen-seiten,379,4,89,3,1,1,1,FALSE
/story/2000138891230/strompreisbremse-fuer-alle-zweitwohnbesitzer-inklusive,463,5,85,4,2,1,0.5,TRUE
/story/2000138874471/wifo-chef-felbermayr-staat-muss-aufpassen-es-mit-den-hilfen,183,5,38,4,1,1,1,FALSE
/story/2000138864676/kraeftemessen-um-stromkosten-handel-fuerchtet-einen-flaechenbrand,166,5,43,4,1,1,1,FALSE
/story/2000138910018/moskau-will-im-november-in-besetzten-ukrainischen-gebieten-ueber-annexion,55,3,34,2,1,1,1,FALSE
/story/2000138883386/schreiduell-zwischen-scholz-und-merz-im-deutschen-bundestag,227,3,101,2,1,1,1,FALSE
/story/2000138878711/putin-will-exportrouten-fuer-getreide-aus-der-ukraine-aendern,444,2,586,1,1,1,1,FALSE
/story/2000138872845/fbi-fand-in-trumps-anwesen-sensible-atomwaffen-informationen,189,6,85,5,1,1,1,FALSE
/story/2000138872765/apples-far-out-event-iphone-14-neue-airpods-pro-und,134,7,25,6,1,1,1,FALSE
/story/2000138850707/hilfe-fuer-die-russische-armee-influencerin-fordert-zur-energieverschwendung-auf,378,4,487,3,1,1,1,FALSE
/story/2000138909240/03-eintracht-frankfurt-bekommt-die-champions-league-zu-spueren,63,4,15,3,1,1,1,FALSE
/story/2000138908417/rapid-verkauft-hoffnungstraeger-yusuf-demir-an-galatasaray,228,5,55,4,1,1,1,FALSE
/story/2000138898163/salzburgs-saeulen-bullen-mischen-liga-auf-und-in-champions-league,57,3,47,2,2,1,0.5,TRUE
/story/2000138883163/chelsea-trennt-sich-von-trainer-tuchel,113,5,39,4,1,1,1,FALSE
/story/2000138867205/katrin-beierl-meine-eltern-waren-fertiger-als-ich,69,4,49,3,1,1,1,FALSE
/story/2000138886547/19-jaehriger-bestreitet-vergewaltigung-ukrainischen-maedchens,88,1,73,0,1,1,1,FALSE
/story/2000138885506/rudel-mit-fuenf-wolfswelpen-in-oberkaernten-gesichtet,105,5,37,4,1,1,1,FALSE
/story/2000138869461/neuer-markt-wiens-umstrittenste-garage-ist-fertig,181,5,61,4,1,1,1,FALSE
/story/2000138888482/kuenstler-gottfried-kumpf-91-jaehrig-gestorben,25,4,16,3,1,1,1,FALSE
/story/2000138899299/langjaehriger-profil-chefredakteur-sven-gaechter-gestorben,20,3,23,2,1,1,1,FALSE
/story/2000138845121/neue-studie-stellt-gaengige-kiffer-klischees-infrage,139,7,41,5,3,2,0.666666666666667,TRUE
/story/2000138879461/timothee-chalamet-machts-vor-rueckenfrei-bei-maennern,113,7,27,6,1,1,1,FALSE
/story/2000138642446/ein-hauch-mythos-wird-marbella-noch-immer-seinem-schicken-ruf,29,5,7,3,4,2,0.5,TRUE
/story/2000138858565/teure-schultaschen-das-geschaeft-mit-patches-und-kletties,99,5,29,4,1,1,1,FALSE
/story/2000138905024/fussballerinnen-im-abseits-unwuerdige-buehne,135,5,42,4,1,1,1,FALSE
/story/2000138863210/europa-gegen-russlands-energiewaffe-abschirmen,107,3,41,2,1,1,1,FALSE
/story/2000138856845/die-weltgeschichte-klopft-an,87,3,29,2,1,1,1,FALSE
/story/2000138864313/die-sanktionen-gegen-russland-sind-smarter-als-oft-behauptet,205,5,129,4,1,1,1,FALSE
/story/2000138874719/gewalt-an-transpersonen-feindbilder-verblassen-lassen,113,3,59,2,2,1,0.5,TRUE
/story/2000138936574/mit-25-cent-gegen-die-plastikflut-flaschenpfand-nimmt-konturen-an,216,4,33,3,1,1,1,FALSE
/story/2000138926419/ezb-erhoeht-zinsen-wagt-notenbankchefin-lagarde-den-grossen-schritt,305,3,109,2,1,1,1,FALSE
/story/2000138914133/schulstart-wie-viel-taschengeld-fuer-welches-alter-angemessen-ist,72,3,25,2,1,1,1,FALSE
/story/2000138919965/go-student-streicht-200-jobs-und-stellt-geschaeft-in-den,103,2,81,1,1,1,1,FALSE
/story/2000138904948/ersparnis-durch-strompreisbremse-erst-im-nachhinein-sichtbar,108,5,23,4,1,1,1,FALSE
/story/2000138907523/konflikt-im-regal-wer-verdient-an-teureren-lebensmitteln,207,5,97,4,1,1,1,FALSE
/story/2000138929229/sorge-um-queen-alle-kinder-auf-schloss-balmoral-eingetroffen,450,5,78,4,1,1,1,FALSE
/story/2000138892308/ngos-fordern-nach-vergewaltigung-von-elfjaehriger-im-kosovo-haerteres-vorgehen,64,4,97,3,1,1,1,FALSE
/story/2000138913176/menschliche-entwicklung-geht-laut-uno-in-neun-von-zehn-laendern,116,3,71,2,1,1,1,FALSE
/story/2000138939776/kanzleramt-leistet-wksta-nicht-folge-die-wichtigsten-punkte-des-konflikts,185,2,99,1,1,1,1,FALSE
/story/2000138923469/klimabonus-oevp-will-gesetz-wegen-asylwerbern-rasch-aendern,738,7,89,6,1,1,1,FALSE
/story/2000138909742/kanzleramt-will-sicherstellungsanordnung-der-wksta-vorerst-nicht-befolgen,627,4,81,3,1,1,1,FALSE
/story/2000138897340/gerald-grosz-ich-weiss-dass-ich-bunt-bin,441,4,171,3,1,1,1,FALSE
/story/2000138930061/bis-zu-2-100-euro-die-iphone-rekordpreise-sind-eine,375,4,94,3,1,1,1,FALSE
/story/2000138912383/hands-on-erste-eindruecke-zu-iphone-14-plus-iphone-14,82,5,29,4,1,1,1,FALSE
/story/2000138926081/us-tennisheld-tiafoe-diese-armen-witze-damals-taten-wirklich-weh,25,5,10,4,1,1,1,FALSE
/story/2000138924950/klopp-in-liverpool-in-bedraengnis-wir-arbeiten-nicht-als-team,23,2,7,1,2,1,0.5,TRUE
